Removed Pin From Net: NetName=GND Pin=Q3-2
Removed Pin From Net: NetName=NetQ1_1 Pin=Q3-3
Removed Pin From Net: NetName=+12 Pin=Q3-4
Removed Member From Class: ClassName=MecaVac Member=Q3
Change Component Comment : Designator=C3 Old Comment=K104K15X7RF5TL2 New Comment=10uF
Change Component Comment : Designator=U1 Old Comment=LM35DT New Comment=LM1117T33
Change Component Designator: OldDesignator=C2 NewDesignator=C3
Change Component Designator: OldDesignator=C3 NewDesignator=C4
Change Component Designator: OldDesignator=P2 NewDesignator=Peltier 2
Change Component Designator: OldDesignator=P3 NewDesignator=Peltier 1
Change component parameters: Designator = "R3" ("R3"); Footprint = "AXIAL-0.3"; UniqueID = "\LKRNUWHV" ("\LKRNUWHV")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "110~220"; VariantName = "[No Variations]"
Added Component: Designator=C2(VISH-K104K15X7RF5TL2)
Add component (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Catalog Drawings"; Value = "Mono-KapSide2-15_5.58Mono-KapSide1_15"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.vishay.com/docs/45171/kseries.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "08/2013"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.220"(5.58mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "0.098"(2.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.vishay.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Online Catalog"; Value = "Mono-Kap™Series"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C~125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = "BC1084CT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Through Hole Device, Body 4 x 2.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "K104K15X7RF5TL2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape(CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Mono-Kap™K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.157"Lx0.098"W(4.00mmx2.50mm)"; VariantName = "[No Variations]"
